,minX,maxX,minY,maxY,accident,signals,cameras,SPEED,Average Speed Count,VOLUME,Average Volume Count,Signs
33,50.9537029,50.9906632,-114.1790287,-114.1334396,0,1,0,60.0,2,3000.0,2,260
34,50.9537029,50.9906632,-114.1334396,-114.0878505,88,26,2,55.0,6,23500.0,22,3199
35,50.9537029,50.9906632,-114.0878505,-114.0422614,225,70,3,60.869565217391305,23,17871.79487179487,39,5268
36,50.9537029,50.9906632,-114.0422614,-113.9966723,149,34,3,61.94444444444444,36,33030.30303030303,33,3147
37,50.9537029,50.9906632,-113.9966723,-113.9510832,104,18,2,69.41176470588235,17,15291.666666666666,24,1711
38,50.9537029,50.9906632,-113.9510832,-113.9054941,38,1,1,70.55555555555556,18,12375.0,8,417
39,50.9537029,50.9906632,-113.9054941,-113.859905,0,0,0,0.0,0,8500.0,2,165
40,50.9906632,51.0276235,-114.315796,-114.2702069,0,0,0,0.0,0,0.0,0,0
41,50.9906632,51.0276235,-114.2702069,-114.2246178,1,0,0,70.0,2,17000.0,2,68
42,50.9906632,51.0276235,-114.2246178,-114.1790287,15,2,0,60.0,5,14000.0,9,1359
43,50.9906632,51.0276235,-114.1790287,-114.1334396,69,21,0,66.66666666666667,9,17852.941176470587,34,3024
44,50.9906632,51.0276235,-114.1334396,-114.0878505,303,28,3,50.0,23,22717.94871794872,39,5722
45,50.9906632,51.0276235,-114.0878505,-114.0422614,307,61,9,53.888888888888886,18,26772.727272727272,44,7204
46,50.9906632,51.0276235,-114.0422614,-113.9966723,297,19,5,64.23076923076923,26,27291.666666666668,24,1813
47,50.9906632,51.0276235,-113.9966723,-113.9510832,63,17,1,57.2,25,14318.181818181818,22,2714
48,50.9906632,51.0276235,-113.9510832,-113.9054941,36,4,0,67.75,20,24750.0,4,150
49,50.9906632,51.0276235,-113.9054941,-113.859905,0,0,0,80.0,1,0.0,0,7
50,51.0276235,51.06458380000001,-114.315796,-114.2702069,0,0,0,0.0,0,0.0,0,0
51,51.0276235,51.06458380000001,-114.2702069,-114.2246178,3,0,0,0.0,0,0.0,0,63
52,51.0276235,51.06458380000001,-114.2246178,-114.1790287,45,22,0,61.666666666666664,12,14125.0,24,3841
53,51.0276235,51.06458380000001,-114.1790287,-114.1334396,107,35,2,61.0,10,19294.117647058825,34,6470
54,51.0276235,51.06458380000001,-114.1334396,-114.0878505,326,77,8,51.666666666666664,36,21381.57894736842,76,12676
55,51.0276235,51.06458380000001,-114.0878505,-114.0422614,465,223,22,35.833333333333336,12,13595.419847328245,262,33465
56,51.0276235,51.06458380000001,-114.0422614,-113.9966723,362,38,5,58.0,20,26820.51282051282,39,5590
57,51.0276235,51.06458380000001,-113.9966723,-113.9510832,259,56,5,50.588235294117645,17,13914.285714285714,70,5514
58,51.0276235,51.06458380000001,-113.9510832,-113.9054941,84,23,0,67.6923076923077,52,13625.0,16,2100
59,51.0276235,51.06458380000001,-113.9054941,-113.859905,5,1,0,80.0,4,0.0,0,118
60,51.0645838,51.101544100000005,-114.315796,-114.2702069,5,0,0,110.0,1,0.0,0,116
61,51.0645838,51.101544100000005,-114.2702069,-114.2246178,14,0,0,64.0,15,25714.285714285714,7,893
62,51.0645838,51.101544100000005,-114.2246178,-114.1790287,44,17,1,63.529411764705884,17,15466.666666666666,15,3430
63,51.0645838,51.101544100000005,-114.1790287,-114.1334396,123,46,2,62.0,40,17750.0,36,6108
64,51.0645838,51.101544100000005,-114.1334396,-114.0878505,161,49,3,49.583333333333336,24,22461.53846153846,39,6781
65,51.0645838,51.101544100000005,-114.0878505,-114.0422614,238,53,4,59.0,10,21413.043478260868,46,7761
66,51.0645838,51.101544100000005,-114.0422614,-113.9966723,354,36,6,60.3448275862069,29,30940.0,50,2475
67,51.0645838,51.101544100000005,-113.9966723,-113.9510832,290,50,6,51.904761904761905,42,18192.98245614035,57,4428
68,51.0645838,51.101544100000005,-113.9510832,-113.9054941,127,19,2,71.21212121212122,33,24772.727272727272,22,2586
69,51.0645838,51.101544100000005,-113.9054941,-113.859905,0,0,0,0.0,0,0.0,0,15
70,51.1015441,51.1385044,-114.315796,-114.2702069,0,0,0,0.0,0,0.0,0,26
71,51.1015441,51.1385044,-114.2702069,-114.2246178,26,10,0,62.0,45,21416.666666666668,12,2206
72,51.1015441,51.1385044,-114.2246178,-114.1790287,67,39,1,63.541666666666664,48,13220.0,50,4375
73,51.1015441,51.1385044,-114.1790287,-114.1334396,93,32,2,65.29411764705883,51,21892.85714285714,28,3788
74,51.1015441,51.1385044,-114.1334396,-114.0878505,23,7,0,75.0,2,17100.0,10,963
75,51.1015441,51.1385044,-114.0878505,-114.0422614,161,33,1,71.08108108108108,37,29724.137931034482,29,3280
76,51.1015441,51.1385044,-114.0422614,-113.9966723,25,6,0,70.0,5,17090.909090909092,11,267
77,51.1015441,51.1385044,-113.9966723,-113.9510832,80,17,0,60.96774193548387,31,14923.076923076924,26,2616
78,51.1015441,51.1385044,-113.9510832,-113.9054941,81,22,0,74.0,10,10375.0,24,2841
79,51.1015441,51.1385044,-113.9054941,-113.859905,0,0,0,0.0,0,0.0,0,0
80,51.1385044,51.175464700000006,-114.315796,-114.2702069,0,0,0,0.0,0,0.0,0,0
81,51.1385044,51.175464700000006,-114.2702069,-114.2246178,10,7,0,72.0,15,11000.0,15,1480
82,51.1385044,51.175464700000006,-114.2246178,-114.1790287,32,10,1,60.0,25,17437.5,16,1341
83,51.1385044,51.175464700000006,-114.1790287,-114.1334396,84,22,1,59.75609756097561,41,18708.333333333332,24,2145
84,51.1385044,51.175464700000006,-114.1334396,-114.0878505,79,24,2,61.08695652173913,46,22096.774193548386,31,3087
85,51.1385044,51.175464700000006,-114.0878505,-114.0422614,94,33,0,61.111111111111114,36,14722.222222222223,36,3376
86,51.1385044,51.175464700000006,-114.0422614,-113.9966723,55,15,2,65.83333333333333,48,26666.666666666668,21,1405
87,51.1385044,51.175464700000006,-113.9966723,-113.9510832,63,14,2,65.20833333333333,48,15416.666666666666,12,1681
88,51.1385044,51.175464700000006,-113.9510832,-113.9054941,26,3,0,80.43478260869566,23,21333.333333333332,3,346
89,51.1385044,51.175464700000006,-113.9054941,-113.859905,0,0,0,0.0,0,0.0,0,8
90,51.175464700000006,51.21242500000001,-114.315796,-114.2702069,0,0,0,0.0,0,0.0,0,0
91,51.175464700000006,51.21242500000001,-114.2702069,-114.2246178,0,0,0,75.0,2,0.0,0,18
92,51.175464700000006,51.21242500000001,-114.2246178,-114.1790287,0,0,0,65.0,2,3000.0,2,84
93,51.175464700000006,51.21242500000001,-114.1790287,-114.1334396,11,1,0,64.0,5,4500.0,4,845
94,51.175464700000006,51.21242500000001,-114.1334396,-114.0878505,2,2,0,60.0,4,4750.0,4,644
95,51.175464700000006,51.21242500000001,-114.0878505,-114.0422614,5,1,0,70.0,2,2666.6666666666665,3,342
96,51.175464700000006,51.21242500000001,-114.0422614,-113.9966723,22,0,0,73.63636363636364,11,0.0,0,52
97,51.175464700000006,51.21242500000001,-113.9966723,-113.9510832,20,0,0,65.0,12,15000.0,1,27
98,51.175464700000006,51.21242500000001,-113.9510832,-113.9054941,1,0,0,0.0,0,0.0,0,2
99,51.175464700000006,51.21242500000001,-113.9054941,-113.859905,0,0,0,0.0,0,0.0,0,0
